"eh1" "eh2" "p.val" "adj.pval"
283 270 0.908926222473516 1
505 413 0.273125548821879 1
961 1363 0.0655057580508813 0.679351060502625
554 566 0.94380050610397 1
373 390 0.603939390888308 1
604 528 0.713079087755929 1
595 531 0.635946747758955 1
967 874 0.768641794972487 1
569 674 0.0321456173579897 0.416405490923446
568 647 0.781797779277779 1
198 206 0.827878651131715 1
552 618 0.794465281134481 1
778 803 0.949044965169386 1
555 546 0.850979285421181 1
96 184 0.170456771806142 1
659 609 0.871008293415206 1
724 655 0.750684338638629 1
338 280 0.0198153047348983 0.304850842075358
767 937 0.544309008779452 1
450 501 0.754569501204763 1
1738 1399 0.389572006513758 1
489 507 0.602950444033425 1
232 190 0.392309221478292 1
633 590 0.396757820103287 1
383 369 0.854080777444431 1
698 848 0.510245335670794 1
697 709 0.868430734325275 1
433 334 0.391153027044591 1
1782 2372 0.0169516485332764 0.269073786242483
686 630 0.787916578848915 1
486 518 0.856918874178577 1
278 238 0.537107765903884 1
419 430 0.930945171232793 1
761 781 0.955223194361358 1
907 1544 1.39905644021187e-06 9.32704293474577e-05
542 572 0.850442798034216 1
253 314 0.0132482522630272 0.217184463328315
152 198 0.191799272849297 1
93 167 5.7614173943254e-06 0.000338906905548553
762 855 0.456031185462309 1
477 375 0.324795173078899 1
547 542 0.983057981146005 1
340 269 0.636389420938145 1
508 642 0.597308483539384 1
361 369 0.776285483825864 1
709 795 0.512973012756147 1
396 426 0.879995416049399 1
925 848 0.748364794591213 1
448 615 0.00188429637673637 0.0418732528163638
343 319 0.864558525159614 1
529 466 0.780037646615993 1
831 541 9.04656955873184e-14 1.50776159312197e-11
351 378 0.334196952801562 1
393 401 0.961186340263322 1
177 156 0.760538782378961 1
722 774 0.873470795978881 1
1158 1256 0.704646258032981 1
416 240 0.178848477003604 1
688 763 0.544574596915463 1
541 455 0.221086860593556 1
207 206 0.975825589515012 1
405 453 0.753481922082818 1
400 455 0.27050426383652 1
438 493 0.808089407303846 1
384 388 0.979450818533224 1
968 1049 0.871885962063006 1
996 1698 0.00015970925443386 0.00591515757162446
556 351 0.11540517848563 0.898513351460185
2100 1591 0.27427658640052 1
535 584 0.815760144438998 1
1619 1385 0.481422110917794 1
496 434 0.667598727227526 1
639 777 0.440804155157336 1
314 323 0.926034555620568 1
522 516 0.853440443529578 1
443 491 0.19451265422468 1
435 480 0.783829855125598 1
443 449 0.976750383092712 1
387 380 0.885994943038743 1
372 585 0.00073268386162512 0.0203523294895867
457 464 0.97273065322577 1
928 963 0.919977683276894 1
1279 1223 0.889411170326268 1
839 834 0.988142232049299 1
709 698 0.97155654745065 1
418 414 0.905688483940185 1
346 295 0.749697209335383 1
249 264 0.895677521940739 1
272 212 0.172011385090591 1
700 595 0.525680124609301 1
506 396 0.178411310057804 1
155 178 0.511087792513621 1
499 523 0.855909053479021 1
1326 1391 0.444733191865479 1
455 357 0.32277245416893 1
755 858 0.784182962445504 1
590 567 0.87736352701027 1
272 293 0.859256579271391 1
1146 1046 0.745546085377148 1
967 844 0.249095449662624 1
749 573 0.547355808701162 1
399 336 0.658653253312359 1
392 383 0.940650682888641 1
575 450 0.332053600382004 1
1192 1083 0.786443427047702 1
729 874 0.221870758028102 1
169 188 0.386990365689129 1
144 155 0.821645578816243 1
315 460 0.0967960156249517 0.820305217160607
425 404 0.785869260828775 1
185 212 0.691027329687059 1
485 537 0.566046018458452 1
567 402 0.43544827608413 1
629 608 0.91731778204182 1
213 233 0.784759837839187 1
363 320 0.721927810143124 1
108 91 0.591736853888563 1
249 254 0.930682173052146 1
805 1274 2.55233928411106e-19 6.38084821027766e-17
520 651 0.457025388140508 1
345 392 0.702882983135111 1
503 525 0.701904339077739 1
341 286 0.28320405359862 1
294 318 0.356779640220092 1
598 626 0.919726993042328 1
329 426 0.30202549413016 1
181 181 1 1
583 768 0.553573425815349 1
